Year,Start,End,Length,Rainfall,n_rainday_season,mean_tmin,mean_tmax
1944,,,,,,,
1945,,299,,,,17.44465753,27.61972603
1946,135,301,166,1160.3,102,16.12876712,27.53589041
1947,140,322,182,1202.6,101,16.30601093,27.60901639
1948,204,285,81,485.4,37,16.58543956,28.13846154
1949,132,308,176,1251.6,103,16.44410959,27.46273973
1950,182,278,96,607.4,64,15.48571429,26.93406593
1951,129,298,169,1194.7,86,16.25874317,27.82349727
1952,133,292,159,934.4,78,16.20219178,28.35369863
1953,158,279,121,694.1,69,16.25232877,28.08164384
1954,129,309,180,1246,88,16.15232877,27.61123288
1955,154,317,163,994.2,97,16.18497268,27.62185792
1956,134,315,181,1215.3,104,15.85287671,27.52410959
1957,167,298,131,807.4,70,17.11808219,28.9709589
1958,132,271,139,815.1,73,16.46547945,28.44273973
1959,146,292,146,919.7,72,16.68907104,28.13251366
1960,150,319,169,1160.1,97,16.97260274,28.07287671
1961,131,303,172,1273.1,100,16.45616438,27.19369863
1962,134,304,170,1153.8,105,16.28849315,27.15369863
1963,128,260,132,897.7,75,16.3147541,27.79617486
1964,144,288,144,987.3,87,15.7969863,27.07945205
1965,153,282,129,731.3,68,16.62136986,27.77287671
1966,143,303,160,1004.2,95,17.02712329,28.09561644
1967,120,298,178,784.8,86,16.00655738,27.43825137
1968,134,314,180,1240.8,106,16.57972603,27.83452055
1969,118,295,177,870.5,72,16.3909589,28.23753425
1970,130,305,175,1255.5,100,16.5793956,27.47808219
1971,143,309,166,859.3,81,16.33643836,27.63711911
1972,168,310,142,879,66,16.59752066,28.04297521
1973,147,297,150,1301.1,92,16.36767123,27.45057143
1974,148,311,163,739.5,65,16.19972603,27.85753425
1975,144,301,157,917.4,83,16.23879781,
1976,163,294,131,923.3,68,,
1977,154,305,151,1430.3,89,16.73983516,28.11013699
1978,159,293,134,927.4,67,16.24876712,28.02575342
1979,138,306,168,960.8,85,16.42185792,28.03306011
1980,159,289,130,956.1,66,16.39589041,27.97664835
1981,181,290,109,536.7,57,16.48082192,28.63369863
1982,135,296,161,828.5,69,17.10876712,28.85726027
1983,155,285,130,791.2,70,16.74480874,28.65245902
1984,132,303,171,1279.8,89,16.73643836,28.15561644
1985,123,300,177,1024.7,92,16.60219178,27.77068493
1986,154,279,125,759.3,63,16.70438356,28.38027397
1987,183,304,121,936.1,62,17.52650273,
1988,153,296,143,1231.5,86,16.75041096,27.99752066
1989,137,286,149,876.2,67,17.0939726,28.45863014
1990,169,297,128,681.5,71,16.85013699,
1991,128,304,176,632.6,68,17.09726776,
1992,165,288,123,895.4,83,17.19479452,28.66538462
1993,158,286,128,649.1,51,17.01424658,28.87178082
1994,185,291,106,578.8,49,16.91900826,29.32569061
1995,162,282,120,976.2,67,17.53890411,28.93961749
1996,152,300,148,1124.9,80,,
1997,142,291,149,797.1,61,17.43013699,29.25643836
1998,149,301,152,1061.1,85,,28.78547945
1999,167,295,128,575.9,59,17.09234973,28.63169399
2000,126,296,170,1383.2,94,16.86942149,28.48876712
2001,163,292,129,875.7,75,,
2002,133,298,165,1022.6,76,17.49943978,29.2728022
2003,161,301,140,1079.8,53,,
2004,134,274,140,1186.3,67,17.49917808,29.50338983
2005,150,309,159,,,,
2006,137,290,153,1920.2,86,17.30547945,29.3030137
2007,112,293,181,1666.7,83,,
2008,161,270,109,1393.8,50,,29.35013699
2009,130,293,163,1998.9,78,17.65369863,29.72684932
2010,146,285,139,1390.1,71,17.21836158,29.63753425
2011,162,301,139,1478.6,64,,
2012,160,283,123,960.6,67,17.32341598,
2013,142,306,164,1419.4,64,16.96088154,
2014,174,303,129,885.9,48,15.42809917,29.77142857
2015,156,288,132,857.9,64,15.12078652,30.16748634
2016,142,302,160,1073.6,78,14.46404494,29.55785124
2017,120,283,163,979,70,16.14917582,29.81671233
2018,141,310,169,1349.4,81,15.77740113,29.35331492
2019,150,286,136,1180.9,64,18.11208791,
2020,169,300,131,1006.2,76,17.66219178,
2021,172,309,137,840.8,70,18.07272727,
2022,,,,,,,
