Year	Start	End	Length	Rainfall
1962	0	0	0	0
1963	174	258	84	519
1964	159	264	105	627
1965	192	264	72	425
1966	132	301	169	919
1967	179	298	119	316
1968	159	298	139	978
1969	156	233	77	606
1970	144	287	143	706
1971	141	299	158	740
1972	147	271	124	635
1973	123	310	187	1193
1974	137	274	137	736
1975	150	300	150	882
1976	161	270	109	639
1977	149	306	157	1393
1978	156	273	117	671
1979	155	289	134	527
1980	156	321	165	944
1981	151	261	110	588
1982	135	305	170	539
1983	133	276	143	451
1984	168	291	123	1051
1985	157	311	154	810
1986	146	256	110	470
1987	157	280	123	832
1988	152	272	120	725
1989	166	307	141	907
1990	144	276	132	801
1991	172	273	101	294
1992	132	296	164	883
1993	148	257	109	647
1994	164	238	74	412
1995	163	279	116	633
1996	143	303	160	1252
1997	141	284	143	662
1998	152	285	133	971
1999	121	281	160	858
2000	145	287	142	858
2001	140	294	154	670
2002	162	275	113	544
2003	149	272	123	754
2004	145	263	118	538
2005	144	285	141	777
2006	137	290	153	603
2007	139	264	125	904
2008	166	276	110	613
2009	143	288	145	580
2010	156	285	129	921
2011	167	285	118	552
2012	161	266	105	595
2013	167	304	137	827
2014	165	261	96	674
2015	167	284	117	405
2016	139	283	144	733
2017	134	282	148	736
2018	151	297	146	522
2019	190	255	65	382
2020	151	272	121	538
2021	0	0	0	0
2022	129	275	146	751
