Station,year,start_doy,count_non_missing_rain,count_rain,sum_rain,end_rains
Moorings,1922,,314,365,,363
Moorings,1923,4,365,365,884.899999776623,358
Moorings,1924,28,366,366,662.399999846239,366
Moorings,1925,10,365,365,863.299999800744,344
Moorings,1926,3,365,365,1058.79999978887,365
Moorings,1927,1,365,365,699.399999852293,358
Moorings,1928,13,366,366,594.099999891129,365
Moorings,1929,9,365,365,886.899999811315,356
Moorings,1930,11,365,365,730.899999887217,359
Moorings,1931,34,365,365,708.499999855413,358
Moorings,1932,17,366,366,986.399999821559,366
Moorings,1933,1,365,365,701.499999837951,362
Moorings,1934,1,365,365,828.999999823282,362
Moorings,1935,8,365,365,677.099999792874,352
Moorings,1936,8,366,366,773.899999794551,366
Moorings,1937,1,365,365,790.299999844749,357
Moorings,1938,8,365,365,787.299999777694,366
Moorings,1939,1,365,365,1265.69999976922,365
Moorings,1940,12,366,366,831.799999819836,362
Moorings,1941,1,365,365,934.699999828125,356
Moorings,1942,7,365,365,655.79999985639,362
Moorings,1943,2,365,365,1016.89999977732,356
Moorings,1944,12,366,366,660.499999868684,358
Moorings,1945,1,365,365,719.599999862025,365
Moorings,1946,7,365,365,783.999999830733,364
Moorings,1947,2,365,365,816.299999827054,362
Moorings,1948,4,366,366,917.399999777088,360
Moorings,1949,14,365,365,702.299999846611,352
Moorings,1950,36,365,365,890.49999980093,365
Moorings,1951,3,365,365,719.199999825331,362
Moorings,1952,2,366,366,1172.69999972568,350
Moorings,1953,4,365,365,1218.29999973043,360
Moorings,1954,6,365,365,1074.19999968517,365
Moorings,1955,4,365,365,717.899999873713,363
Moorings,1956,4,366,366,1018.5999997945,349
Moorings,1957,6,365,365,894.999999812339,361
Moorings,1958,12,365,365,1180.49999981118,365
Moorings,1959,6,365,365,772.899999780814,364
Moorings,1960,3,366,366,548.299999901792,365
Moorings,1961,7,365,365,819.299999886658,361
Moorings,1962,2,365,365,933.799999840558,363
Moorings,1963,2,365,365,839.599999821513,347
Moorings,1964,3,366,366,991.199999739184,366
Moorings,1965,1,365,365,459.299999907613,355
Moorings,1966,17,365,365,813.999999865424,355
Moorings,1967,2,365,365,783.499999824679,360
Moorings,1968,10,366,366,829.599999840604,366
Moorings,1969,1,365,365,875.099999804749,364
Moorings,1970,5,365,365,842.699999806937,361
Moorings,1971,1,365,365,939.899999789894,366
Moorings,1972,2,366,366,533.799999911106,365
Moorings,1973,8,365,365,674.199999854667,362
Moorings,1974,1,365,365,1112.899999697,365
Moorings,1975,2,365,365,743.099999847589,361
Moorings,1976,11,366,366,786.099999864121,360
Moorings,1977,19,365,365,663.299999881303,364
Moorings,1978,7,365,365,1309.69999969169,359
Moorings,1979,4,365,365,912.099999800791,358
Moorings,1980,7,366,366,716.099999837112,363
Moorings,1981,12,365,365,782.399999787565,355
Moorings,1982,4,365,365,684.929999824352,344
Moorings,1983,13,365,365,742.29999972065,365
Moorings,1984,34,366,366,596.999999773805,359
Moorings,1985,13,365,365,663.699999823352,364
Moorings,1986,1,365,365,997.599999634549,365
Moorings,1987,2,365,365,486.699999860605,362
Moorings,1988,18,366,366,591.399999821792,353
Moorings,1989,9,365,365,863.99999978859,363
Moorings,1990,4,365,365,907.899999666494,366
Moorings,1991,1,365,365,491.799999858253,357
Moorings,1992,24,366,366,573.799999764655,365
Moorings,1993,2,365,365,621.499999792315,333
Moorings,1994,4,365,365,520.699999843259,365
Moorings,1995,10,365,365,448.999999832711,365
Moorings,1996,15,366,366,863.999999811407,364
Moorings,1997,5,365,365,921.29999986291,364
Moorings,1998,2,365,365,794.199999759905,366
Moorings,1999,2,365,365,946.799999638461,365
Moorings,2000,14,366,366,881.399999885121,365
Moorings,2001,1,365,365,1027.69999980275,356
Moorings,2002,9,365,365,481.399999853689,359
Moorings,2003,2,365,365,739.199999887496,363
Moorings,2004,21,365,366,,366
Moorings,2005,17,365,365,800.799999872222,361
Moorings,2006,13,365,365,952.899999880232,365
Moorings,2007,2,365,365,1049.69999989471,365
Moorings,2008,1,366,366,1017.59999986878,363
Moorings,2009,23,365,365,744.399999909103,363
Moorings,2010,6,181,181,567.399999953806,112
